,answers_difference_mean,answers_difference_median,answers_pvalue,category,comments_difference_mean,comments_difference_median,comments_pvalue,community,contributions_difference_mean,contributions_difference_median,contributions_pvalue,questions_difference_mean,questions_difference_median,questions_pvalue
0,-1.951507962184119,0.0,0.8200880274961148,life-arts,-6.5815719472303105,0.0,0.7998794377819453,academia,-8.257629677558503,0.0,0.5508139946175892,0.27545023185592576,1.0,0.13205596285251636
1,-1.5413123498236225,0.0,0.8010337042222803,technology,-3.549249331129326,0.0,0.8190962774346855,android,-5.177898297575024,-1.0,0.659100550013377,-0.08733661662207526,0.0,0.6821245959489207
2,3.5042561065877136,1.0,0.030148543444312528,culture-recreation,13.339193190229459,1.0,0.45226859304321987,anime,17.34437453737972,1.0,0.2976740864373618,0.5009252405625464,-1.0,0.5605990573473928
3,-1.2190699922141377,0.0,0.03529750884112259,technology,-2.7498223570578393,0.0,0.07142083973673073,apple,-4.436114765394976,-0.5,0.05585014984180339,-0.4674103507217582,0.0,0.4118075893926878
4,-0.33711531966342534,0.0,0.613229311504544,technology,-0.8843704874861107,0.0,0.830140964644112,askubuntu,-0.5951706617456303,1.0,0.19562436624552149,0.6262099044020109,0.0,0.0008982972996384558
5,-3.72848604421749,0.0,0.09615554885462141,culture-recreation,-10.435095456391807,1.0,0.8003782924436295,bicycles,-14.632159229385483,0.0,0.759961411888657,-0.4685777287761852,0.0,0.6718351901289792
6,-0.3913637416068534,0.0,0.028365362140496703,science,-1.7588330632090754,0.0,0.10960552290382378,biology,-2.462398703403567,-0.5,0.6931273584000216,-0.3122018985876358,0.0,0.4441433798569133
7,-2.6978210281362385,1.0,0.49849440751835083,business,-4.149904802200127,0.0,0.11871490759820508,bitcoin,-7.16018616458642,-1.0,0.6432045144111096,-0.31246033425005293,0.0,0.3551744939003302
8,0.2638888888888893,0.0,0.3573549205527935,science,-2.8688888888888897,1.0,0.2933262816626605,chemistry,-1.6916666666666647,1.0,0.1848450640612348,0.9133333333333336,0.0,0.32039400254459904
9,1.7217068645640072,0.0,0.2545229339589342,culture-recreation,-0.35213358070500966,0.5,0.419055188669472,chinese,0.979962894248608,0.0,0.34935188229821545,-0.3896103896103895,0.0,0.4199236026684421
10,-6.643215498610683,0.0,0.5227820566647566,culture-recreation,-16.48803643099722,-1.0,0.12556919433231475,christianity,-24.273464032108677,-1.0,0.4533848061696293,-1.1437943809817845,0.0,0.2123484261466253
11,-1.6873587960942875,0.0,0.35269668432952317,technology,-5.28250477547973,1.0,0.12410083356514284,codegolf,-6.932842695212885,1.0,0.17877513306663484,0.03702087636113288,0.0,0.09822922581982588
12,-0.029646165866726193,0.0,0.18060756705191072,technology,-0.8119385135458366,-1.0,0.9542396647273886,codereview,-0.821590419849155,0.0,0.6594380882912116,0.019994259563407835,1.0,0.18640306060158485
13,-0.7283653846153846,1.0,0.19160706063905453,science,-4.189102564102564,0.0,0.4424148799410752,cogsci,-5.83653846153846,0.0,0.8775526551934463,-0.9190705128205128,0.0,0.671129958340716
14,2.7529511378104106,1.0,3.65648843843639e-14,life-arts,4.090524220961423,0.5,0.24357203513670367,cooking,7.768593713303913,1.5,7.94044535636428e-06,0.9251183545320825,0.0,0.042487608652551564
15,-2.7222896974177537,0.0,0.950465162184987,technology,-8.802344616359509,0.0,0.7020743397414648,crypto,-10.596398584781115,0.0,0.7827345998242783,0.9282357289961451,0.0,0.021566280426830297
16,-3.1267402690967154,0.0,0.07271636345197839,science,-10.944720291294272,-1.0,0.6829314999596208,cs,-13.77701189711237,1.0,0.6793566533306691,0.2944486632786183,0.0,0.007501965368746511
17,-2.4563473085711247,-1.0,0.08698232422819385,science,-12.624422126574206,-1.0,0.12721453219858414,cstheory,-15.669057867049258,-1.0,0.22134380015810795,-0.588288431903927,0.0,0.8712716609778315
18,0.0072066037644926695,0.0,0.4878242347564842,technology,-1.2852258599254043,0.0,0.5419666536410943,dba,-1.2058544319047044,1.0,0.30936243134203645,0.07216482425620918,0.0,0.5311677659124294
19,-3.3793375254627582,0.0,0.5134062863448008,life-arts,-6.068762731378975,-1.0,0.10501705485879285,diy,-10.044167921353292,0.0,0.0960044033651459,-0.5960676645115579,0.0,0.12697303006052219
20,-2.2408757153655117,0.0,0.6264147701287324,technology,-3.8889158838138442,0.0,0.8899919767849922,drupal,-6.195497246517654,2.5,0.5514585799908945,-0.06570564733830064,1.0,0.7727341790545785
21,-5.112771739130435,0.0,0.00036572930432087457,technology,-11.051902173913044,0.0,0.5218443830808841,dsp,-16.137228260869566,-1.0,0.26853221620236933,0.027445652173913038,0.0,0.11370546389637937
22,-7.0137724550898195,0.0,0.7416275045900627,technology,-14.408786774277534,-1.0,0.3524707472084011,electronics,-20.591438861407624,-1.0,0.6612949952082764,0.8307211663629266,0.0,0.1746957327529598
23,-0.7753137720488468,0.0,0.04194064703705931,culture-recreation,-2.3334888059701484,1.0,0.34116577446486596,ell,-1.4498388738127552,2.0,0.04223044401807869,1.6589637042062413,0.0,0.8090202113583838
24,0.059428832615069815,1.0,1.705462150827867e-07,culture-recreation,-5.4738516698127775,-1.0,0.043435024567369064,english,-5.781695575263264,1.0,0.2337421491279288,-0.36764670964371793,0.0,0.23104509601779755
25,-1.4397889509621358,1.0,0.6261462830132112,technology,10.567246016966688,2.0,0.13928402139699148,expressionengine,11.44868611628388,8.0,0.10660050252574771,2.32122905027933,2.0,0.06283579949387413
26,1.1696077159292413,1.0,0.5622959152539333,life-arts,0.3540288049824838,0.0,0.5510923310152109,fitness,2.034600579559708,0.0,0.6827765480313825,0.5109640586479822,0.0,0.9995168800772606
27,1.087151841868823,0.0,0.018522415039183667,professional,-0.5831087151841867,0.0,0.7590828925420423,freelancing,0.08984725965858154,0.0,0.36112508047943703,-0.41419586702605576,0.0,0.20146241540619259
28,6.8861512319456235,0.0,0.08460312619036439,culture-recreation,14.837723024638912,0.0,0.9876265809325201,french,21.26819597847635,2.0,0.33464286971985946,-0.45567827810818473,-1.0,0.8576869046454705
29,-0.6225862914734215,0.0,0.2837644514227494,technology,2.167384833214413,0.0,0.8172540882439437,gamedev,1.8155129548697815,0.0,0.47792004607435845,0.27071441312879063,0.0,0.15343902433405424
30,8.695294977035282,0.0,0.1921498674838914,culture-recreation,22.645691455552527,0.0,0.23546732591084596,gaming,35.29554352996662,0.0,0.9491688190505535,3.9545570973788102,0.0,0.8878477163546713
31,0.3830310831787376,1.0,0.00022399112224884846,life-arts,-2.0546700488395864,0.0,0.30086729077650365,gardening,-1.7481164578048691,-1.0,0.825486093824559,-0.07647749214401989,0.0,0.0012077742024161158
32,-0.9679487179487181,0.0,0.21053236832427613,life-arts,-4.495726495726496,-1.0,0.35644665867245773,genealogy,-6.32051282051282,-1.0,0.8907752550972898,-0.8568376068376069,-1.0,0.16495837923870083
33,-2.3343960648569864,0.0,0.4585214108144794,culture-recreation,-11.477044999089088,-1.0,0.11745225569846451,german,-14.945345235926398,0.0,0.9203346144061609,-1.1339041719803242,0.0,0.039834131947408376
34,-5.228229937393284,0.0,0.19648526138857292,technology,-4.845634532847942,1.0,0.018498940405541942,gis,-8.777579708121692,2.0,0.044894683896370295,1.2962847621195364,1.0,0.0020112918379620033
35,4.16574360842898,1.0,0.0041428277608523975,life-arts,8.163168761765956,0.0,0.6286329368393524,graphicdesign,12.694127649237869,1.0,0.27582735133196545,0.3652152790429344,0.0,0.8433858781337996
36,-5.6779620853080575,0.0,0.41182459766575275,culture-recreation,-2.5791469194312775,0.5,0.8841774576526054,hermeneutics,-7.881516587677723,1.5,0.8999083557595633,0.6161137440758293,-1.0,0.807149538233924
37,-1.4356245380635624,1.0,0.03576605846351852,culture-recreation,-12.685686129588568,0.0,0.9940702919065312,history,-13.79241192411924,1.0,0.576471790775756,0.3288987435328896,-1.0,0.8614471025948099
38,-0.5844155844155843,0.0,0.6524066399911379,culture-recreation,-6.51082251082251,-1.0,0.6292438699165864,islam,-6.683982683982684,1.0,0.9937107010300261,0.4112554112554112,0.0,0.18198412603324898
39,-5.0962869003690034,-1.0,0.14554966728442995,culture-recreation,-21.59778597785978,-1.0,0.02724552154089809,japanese,-28.730511992619924,-1.5,0.05497304629586276,-2.0364391143911442,0.0,0.5115562315705322
40,-15.862932732901772,0.0,0.16679522613133824,culture-recreation,-23.30284266816775,0.0,0.42990010073297247,judaism,-40.43920630453138,-0.5,0.5247596437661489,-1.278778497044751,0.0,0.73860215405428
41,-2.547889908256881,0.0,0.17180177451755507,science,-11.253088685015289,-1.0,0.3138749490278647,linguistics,-14.16452599388379,-1.0,0.11972698295526388,-0.3666055045871559,0.0,0.6853636771733257
42,-4.102625166149755,1.0,0.33551483366891655,technology,-5.4800620292423545,0.0,0.5551188509788211,magento,-7.47108994240142,1.0,0.5356964822027752,2.1115972529906957,0.0,0.29066868567797355
43,-15.081518634723004,-1.0,2.6178091877367515e-06,science,-34.13188350607636,2.0,9.67009408397511e-06,math,-45.926371734163375,6.0,9.88404283873723e-10,3.2877454551475225,2.0,2.744566209845824e-30
44,-2.613991220759015,0.0,0.398771332400645,technology,-14.34148283973255,2.0,0.35657173363733974,mathematica,-16.766072123131636,1.0,0.3624561687427026,0.18940193735993027,0.0,0.1317009752491518
45,-7.987704249640181,-1.0,9.024135311685064e-07,science,-26.426509341900644,-1.0,0.00037896557152126726,mathoverflow,-35.747597128585376,-3.0,0.00032043549571777964,-1.3336357438541304,0.0,0.13613238785671453
46,-3.84695652173913,0.0,0.0570752925207985,culture-recreation,-5.895652173913043,-1.0,0.1056687496044699,mechanics,-10.246956521739131,-1.0,0.02934550012473563,-0.5043478260869565,0.0,0.13330434760376392
47,-0.9665137113514697,1.0,0.3175042557334825,life-arts,-2.9689172948759968,0.0,0.07606041770614333,money,-4.4161203976838195,-1.0,0.2567949682898292,-0.48068939145635325,0.0,0.07040017765319032
48,-2.9248055315471047,0.5,0.9064926304101919,life-arts,-8.9659680207433,0.0,0.05669762444467276,movies,-12.66994382022472,0.0,0.4534651376052974,-0.7791702679343129,0.0,0.3171728197253836
