,community,total_contrib,males_contrib,females_contrib,total_questions,males_questions,females_questions,total_answers,males_answers,females_answers,total_comments,males_comments,females_comments
92,russian,2366.0,1841.0,525.0,186.0,131.0,55.0,608.0,520.0,88.0,1572.0,1190.0,382.0
93,salesforce,34375.0,33029.0,1346.0,4460.0,4079.0,381.0,9509.0,9266.0,243.0,20406.0,19684.0,722.0
94,scicomp,12762.0,12553.0,209.0,938.0,880.0,58.0,3303.0,3278.0,25.0,8521.0,8395.0,126.0
95,scifi,55143.0,50768.0,4375.0,4472.0,3846.0,626.0,11368.0,10557.0,811.0,39303.0,36365.0,2938.0
96,security,41842.0,40996.0,846.0,3700.0,3507.0,193.0,13421.0,13276.0,145.0,24721.0,24213.0,508.0
97,serverfault,361823.0,349856.0,11967.0,47117.0,45350.0,1767.0,117128.0,113657.0,3471.0,197582.0,190853.0,6729.0
98,sharepoint,79604.0,73901.0,5703.0,10828.0,10072.0,756.0,27339.0,25188.0,2151.0,41437.0,38641.0,2796.0
99,skeptics,18475.0,17191.0,1284.0,1649.0,1475.0,174.0,1870.0,1717.0,153.0,14956.0,13999.0,957.0
100,softwarerecs,5610.0,5514.0,96.0,893.0,866.0,27.0,1386.0,1364.0,22.0,3331.0,3284.0,47.0
101,sound,18826.0,16735.0,2091.0,1738.0,1432.0,306.0,8041.0,7647.0,394.0,9047.0,7656.0,1391.0
102,space,3393.0,3323.0,70.0,370.0,359.0,11.0,749.0,731.0,18.0,2274.0,2233.0,41.0
103,spanish,4963.0,4567.0,396.0,502.0,483.0,19.0,1465.0,1345.0,120.0,2996.0,2739.0,257.0
104,sports,2725.0,2632.0,93.0,488.0,465.0,23.0,782.0,765.0,17.0,1455.0,1402.0,53.0
105,sqa,6420.0,5432.0,988.0,524.0,484.0,40.0,2547.0,2139.0,408.0,3349.0,2809.0,540.0
106,stackapps,6243.0,6106.0,137.0,705.0,681.0,24.0,1201.0,1179.0,22.0,4337.0,4246.0,91.0
107,stackoverflow,18312894.0,17424936.0,887958.0,1840501.0,1707503.0,132998.0,5325192.0,5112304.0,212888.0,11147249.0,10605176.0,542073.0
108,startups,446.0,438.0,8.0,59.0,59.0,0.0,167.0,164.0,3.0,220.0,215.0,5.0
109,stats,75669.0,71082.0,4587.0,7705.0,6994.0,711.0,18769.0,17940.0,829.0,49198.0,46151.0,3047.0
110,superuser,386044.0,372498.0,13546.0,54094.0,51691.0,2403.0,108369.0,104822.0,3547.0,223581.0,215985.0,7596.0
111,sustainability,1417.0,1360.0,57.0,149.0,145.0,4.0,341.0,312.0,29.0,927.0,903.0,24.0
112,tex,239231.0,228409.0,10822.0,19358.0,17904.0,1454.0,54507.0,52543.0,1964.0,165367.0,157963.0,7404.0
113,tor,1403.0,1139.0,264.0,160.0,125.0,35.0,474.0,418.0,56.0,769.0,596.0,173.0
114,travel,23800.0,22394.0,1406.0,2112.0,2016.0,96.0,6163.0,5654.0,509.0,15525.0,14724.0,801.0
115,tridion,9381.0,9201.0,180.0,967.0,916.0,51.0,2769.0,2750.0,19.0,5645.0,5535.0,110.0
116,unix,98138.0,95731.0,2407.0,11222.0,10813.0,409.0,25565.0,25003.0,562.0,61351.0,59915.0,1436.0
117,ux,52141.0,46822.0,5319.0,4320.0,3955.0,365.0,16662.0,15040.0,1622.0,31160.0,27828.0,3332.0
118,video,2279.0,2218.0,61.0,429.0,413.0,16.0,587.0,573.0,14.0,1263.0,1232.0,31.0
119,webapps,22663.0,21706.0,957.0,3913.0,3733.0,180.0,7240.0,6878.0,362.0,11511.0,11096.0,415.0
120,webmasters,30991.0,29475.0,1516.0,4528.0,4172.0,356.0,10700.0,10271.0,429.0,15768.0,15037.0,731.0
121,windowsphone,3533.0,3416.0,117.0,462.0,437.0,25.0,895.0,874.0,21.0,2176.0,2105.0,71.0
122,wordpress,68941.0,64267.0,4674.0,9463.0,8666.0,797.0,18023.0,17040.0,983.0,41456.0,38562.0,2894.0
123,workplace,18669.0,15334.0,3335.0,915.0,782.0,133.0,5504.0,4467.0,1037.0,12251.0,10086.0,2165.0
124,writers,11446.0,8289.0,3157.0,839.0,777.0,62.0,3546.0,2481.0,1065.0,7061.0,5031.0,2030.0
